ku_id,ku_name,ka,core_tire1_hour,core_tire2_hour,includes_electives,topic_core_tire1,topic_core_tire2,outcome1,outcome2,KU_keyword_cat,KU_keyword,E,F
ku100,Web Platforms,PBD,0,0,Y,Web programming languages (e.g.; HTML5; Java Script; PHP; CSS).   Web platform constraints.   Software as a Service (SaaS).   Web standards.,,Design and Implement a simple web application.   Describe the constraints that the web puts on developers.   Compare and contrast web programming with general purpose programming.  Describe the differences between Software-as-a-Service and traditional software products.   Discuss how web standards impact software development.  Review an existing web application against a current web standard.  ,,List_of_programming_languages_by_type;Computing_platform;Web_standards,Programming_language;Computing_platform;Web_standards;JavaScript,,
ku101,Mobile Platforms,PBD,0,0,Y,Mobile programming languages.   Challenges with mobility and wireless communication.  Location-aware applications.   Performance/power tradeoffs.   Mobile platform constraints.   Emerging technologies.,,Design and implement a mobile application for a given mobile platform.  Discuss the constraints that mobile platforms put on developers.   Discuss the performance vs. power tradeoff.  Compare and contrast mobile programming with general purpose programming. ,,Mobile_application_development;Visual_programming_language;Location_awareness,Mobile_application_development;Power_network_design_(IC);Visual_programming_language,,
ku102,Industrial Platforms,PBD,0,0,Y,Types of Industrial Platforms (e.g.; Mathematic; Robotic; Industrial Control).   Robotic software and its architecture.   Domain-specific languages.   Industrial platform constraints.,,Design and implement an industrial application on a given platform (e.g.; using Lego Mindstorms or Matlab).   Compare and contrast domain specific languages with general purpose programming languages.  Discuss the constraints that a given industrial platforms impose on developers.  ,,Domain-specific_language;Robotic_automation_software,Theory_of_constraints;Industrial_control_system;Industrial_PC,,
ku103,Game Platforms,PBD,0,0,Y,Types of game platforms (e.g.; XBox; Wii; PlayStation).   Game platform languages (e.g.; C++; Java; Lua; Python).   Game platform constraints.,,Design and implement a simple application on a game platform.  Describe the constraints that game platforms impose on developers.  Compare and contrast game programming with general purpose programming.  ,,Platform_game;Game_programming;Mobile_game,Platform_game;Lua,,
ku104,Parallelism Fundamentals,PD,2,0,N,Multiple simultaneous computations.   Goals of parallelism (e.g.; throughput) versus concurrency (e.g.; controlling access to shared resources).   Parallelism; communication; and coordination.   Programming constructs for coordinating multiple simultaneous computations.   Need for synchronization.   Programming errors not found in sequential programming.   Data races (simultaneous read write or write write of shared state)   Higher-level races (interleavings violating program intention; undesired non-determinism).  Lack of liveness progress (deadlock; starvation).,,Distinguish using computational resources for a faster answer from managing efficient access to a shared resource. (Cross-reference GV Fundamental Concepts. Distinguish multiple sufficient programming constructs for synchronization that may be interimplementable but have complementary advantages.  Distinguish data races from higher level races.  ,,Simultaneous_multithreading;Read-modify-write;Successive_linear_programming,Scheme_(programming_language);Simultaneous_localization_and_mapping;Simultaneous_multithreading;Read-modify-write;Write-in_candidate;Group_One;Error_code;Successive_linear_programming;The_Races_of_Europe_(Ripley),,
ku105,Parallel Decomposition,PD,1,3,N,Need for communication and coordination synchronization.   Independence and partitioning.,Basic knowledge of parallel decomposition concepts (cross-reference SF/System Support for Parallelism).  Task-based decomposition.   Implementation strategies such as threads.   Data-parallel decomposition.  Strategies such as SIMD and MapReduce.   Actors and reactive processes (e.g.; request handlers).,Explain why synchronization is necessary in a specific parallel program.   Identify opportunities to partition a serial program into independent parallel modules. ,Write a correct and scalable parallel algorithm.   Parallelize an algorithm by applying task-based decomposition. Parallelize an algorithm by applying data-parallel decomposition.   Write a program using actors and or reactive processes.  ,Ear_decomposition;Data_parallelism;MapReduce,LXR_Cross_Referencer;Ear_decomposition;Data_parallelism;Additive_state_decomposition;Synchronization;Procedural_knowledge,,
ku106,Communication and Coordination,PD,1,3,N,Shared Memory.   Consistency; and its role in programming language guarantees for data-race-free programs.,Message passing;   Point-to-point versus multicast (or event-based) messages;   Blocking versus non-blocking styles for sending and receiving messages;  Message buffering (cross-reference PF Fundamental Data Structures Queues).  Atomicity;   Specifying and testing atomicity and safety requirements;   Granularity of atomic accesses and updates; and the use of constructs such as critical sections or transactions to describe them;  Mutual Exclusion using locks; semaphores; monitors; or related constructs  Potential for liveness failures and deadlock (causes; conditions; prevention);  Composition;   Composing larger granularity atomic actions using synchronization.   Transactions; including optimistic and conservative approaches.,Use mutual exclusion to avoid a given race condition.   Give an example of an ordering of accesses among concurrent activities (e.g.; program with a data race) that is not sequentially consistent.  ,Give an example of a scenario in which blocking message sends can deadlock.  Explain when and why multicast or event-based messaging can be preferable to alternatives.   Write a program that correctly terminates when all of a set of concurrent tasks have completed.  Use a properly synchronized queue to buffer data passed among activities.   Explain why checks for preconditions; and actions based on these checks; must share the same unit of atomicity to be effective.  Write a test program that can reveal a concurrent programming error  for example; missing an update when two activities both try to increment a variable.  Describe at least one design technique for avoiding liveness failures in programs using multiple locks or semaphores.   Describe the relative merits of optimistic versus conservative concurrency control under different rates of contention among updates.  Give an example of a scenario in which an attempted optimistic update may never complete.  ,Lock_(computer_science);Critical_section;Mutual_exclusion,Lock_(computer_science);ML_(programming_language);Event-related_potential;Canadians;The_Atomic_Cafe;Chuck_Versus_the_Marlin;Critical_section;Requirements_analysis;Multiple_buffering;Mutual_exclusion;Race_and_ethnicity_in_the_United_States_Census;Conservative_Judaism,,
ku107,Parallel Algorithms; Analysis; and Programming,PD,0,3,N,Critical paths; work and span; and the relation to Amdahl's law (cross-reference SF Performance).  Speed-up and scalability.   Naturally (embarrassingly) parallel algorithms   Parallel algorithmic patterns (divide-and-conquer; map and reduce; master-workers; others).   Specific algorithms (e.g.; parallel MergeSort).,,"Define ""critical path""; ""work""; and ""span"".   Compute the work and span; and determine the critical path with respect to a parallel execution diagram.   Define ""speed-up"" and explain the notion of an algorithm's scalability in this regard.   Identify independent tasks in a program that may be parallelized.  Characterize features of a workload that allow or prevent it from being naturally parallelized. Implement a parallel divide-and-conquer (and or graph algorithm) and empirically measure its performance relative to its sequential analog.   Decompose a problem (e.g.; counting the number of occurrences of some word in a document) via map and reduce operations.  ",,Algorithmic_skeleton;Batcher_odd?“even_mergesort;Search_algorithm,Algorithmic_skeleton;Vulcanair_Canguro;Batcher_odd?“even_mergesort;Algorithm;Divide_and_conquer;Critical_path_method,,
ku108,Parallel Architecture,PD,1,1,Y,Multicore processors.   Shared vs. distributed memory.,Symmetric multiprocessing (SMP).   SIMD; vector processing.,Explain the differences between shared and distributed memory.,Describe the SMP architecture and note its key features.  Characterize the kinds of tasks that are a natural match for SIMD machines.  ,Vector_processor;Symmetric_multiprocessing;Distributed_memory,Vector_processor;Multicore_Association;Symmetric_multiprocessing,,
ku109,Parallel Performance,PD,0,0,Y,Load balancing.   Performance measurement.  Scheduling and contention (cross-reference OS Scheduling and Dispatch).  Evaluating communication overhead.   Data management;   Non-uniform communication costs due to proximity (cross-reference SF Proximity);   Cache effects (e.g.; false sharing);  Maintaining spatial locality.   Power usage and management.,,Detect and correct a load imbalance.   Calculate the implications of Amdahl's law for a particular parallel algorithm (cross-reference SF Evaluation for Amdahl's Law).  Describe how data distribution layout can affect an algorithm's communication costs.   Detect and correct an instance of false sharing.   Explain the impact of scheduling on parallel performance.   Explain performance impacts of data locality.   Explain the impact and trade-off related to power usage on parallel performance.  ,,Load_balancing_(computing);False_sharing;Data_management,Canadians;Visual_communication;Principle_of_locality;SCCA_RallyCross;MacOS;Cache_replacement_policies,,
ku11,Memory System Organization and Architecture,AR,0,3,N,Storage systems and their technology.  Memory hierarchy  importance of temporal and spatial locality.  Main memory organization and operations.Latency  cycle time  bandwidth  and interleaving. Cache memories (address mapping  block size  replacement and store policy)  Multiprocessor cache consistency Using the memory system for inter-core synchronization atomic memory operations.  Virtual memory (page table  TLB).Fault handling and reliability. Error coding  data compression  and data integrity (cross-reference SF Reliability through Redundancy),  ,Identify the main types of memory technology (e.g.  SRAM  DRAM  Flash  magnetic disk) and their relative cost and performance. Explain the effect of memory latency on running time. Describe how the use of memory hierarchy (cache  virtual memory) is used to reduce the effective memory latency. Describe the principles of memory management. Explain the workings of a system with virtual memory management.  Compute Average Memory Access Time under a variety of cache and memory configurations and mixes of instruction and data references. , -,Memory_barrier;CAS_latency;Page_table,IPv4_address_exhaustion;Memory_barrier;CAS_latency;Lossy_compression;Page_table;Hierarchy;Organizational_memory;Cache_coherence,,
ku110,Distributed Systems,PD,0,0,Y,Faults (cross-reference OS Fault Tolerance);   Network-based (including partitions) and node-based failures;   Impact on system-wide guarantees (e.g.; availability).   Distributed message sending ;  Data conversion and transmission;   Sockets;   Message sequencing;   Buffering; retrying; and dropping messages.   Distributed system design tradeoffs;   Latency versus throughput ;  Consistency; availability; partition tolerance.   Distributed service design;  Stateful versus stateless protocols and services  ; Session (connection-based) designs;  Reactive (IO-triggered) and multithreaded designs.   Core distributed algorithms;   Election; discovery.,,Distinguish network faults from other kinds of failures.  Explain why synchronization constructs such as simple locks are not useful in the presence of distributed faults.  Write a program that performs any required marshaling and conversion into message units; such as packets; to communicate interesting data between two hosts.  Measure the observed throughput and response latency across hosts in a given network.  Explain why no distributed system can be simultaneously consistent; available; and partition tolerant.   Implement a simple server   for example; a spell checking service.  Explain the tradeoffs among overhead; scalability; and fault tolerance when choosing a stateful v. stateless design for a given service.   Describe the scalability challenges associated with a service growing to accommodate many clients; as well as those associated with a service only transiently having many clients.   Give examples of problems for which consensus algorithms such as leader election are required.  ,,Distributed_operating_system;PACELC_theorem;Distributed_computing,IPv6_transition_mechanism;Distributed_operating_system;PACELC_theorem;Distributed_computing;Goldmont;Parallel_algorithm;Message_passing;Network_partition;DNA_sequencing;Drop;ESPN_Wide_World_of_Sports_Complex,,
ku111,Cloud Computing,PD,0,0,Y,Internet-Scale computing;   Task partitioning (cross-reference PD Parallel Algorithms; Analysis; and Programming);   Data access;  Clusters; grids; and meshes.   Cloud services   Infrastructure as a service;   Elasticity of resources;   Platform APIs;    Software as a service Security;  Cost management.  Virtualization (cross-reference SF Virtualization and Isolation and OS Virtual Machines); Shared resource management;  Migration of processes. Cloud-based data storage; Shared access to weakly consistent data stores; Data synchronization; Data partitioning; Distributed file systems (cross-reference IM Distributed Databases); Replication,,Discuss the importance of elasticity and resource management in cloud computing.   Explain strategies to synchronize a common view of shared data across a collection of devices.   Explain the advantages and disadvantages of using virtualized infrastructure.  Deploy an application that uses cloud infrastructure for computing and or data resources.  Appropriately partition an application between a client and resources. ,,Amazon_SimpleDB;Cloud_computing;Cloud_storage,Digital_signal_processor;Spatial_database;Amazon_SimpleDB;Clustered_file_system;Virtual_machine;Cloud_computing;San_Francisco_Museum_and_Historical_Society;Cloud_storage;Natural_resource_management;Data_access;Partition_(database),,
ku112,Formal Models and Semantics,PD,0,0,Y,Formal models of processes and message passing; including algebras such as Communicating Sequential Processes (CSP) and pi-calculus.   Formal models of parallel computation; including the Parallel Random Access Machine (PRAM) and alternatives such as Bulk Synchronous Parallel (BSP).   Formal models of computational dependencies.   Models of (relaxed) shared memory consistency and their relation to programming language specifications.  Algorithmic correctness criteria including linearizability.   Models of algorithmic progress; including non-blocking guarantees and fairness.   Techniques for specifying and checking correctness properties such as atomicity and freedom from data races.,,Model a concurrent process using a formal model; such as pi-calculus. Explain the characteristics of a particular formal parallel model.  Formally model a shared memory system to show if it is consistent.  Use a model to show progress guarantees in a parallel algorithm.  Use formal techniques to show that a parallel algorithm is correct with respect to a safety or liveness property.  Decide if a specific execution is linearizable or not. ,,Parallel_random-access_machine;Consistency_model;Bulk_synchronous_parallel,Parallel_random-access_machine;Consistency_model;Bulk_synchronous_parallel;Programming_language_specification;Model_checking;Common_Criteria;Communicating_sequential_processes;Parallel_computation_thesis;Algorithm;Cross-serial_dependencies,,
ku113,Object-Oriented Programming,PL,4,6,N,Object-oriented design;   Decomposition into objects carrying state and having behavior;   Class-hierarchy design for modeling;   Definition of classes  fields; methods; and constructors.   Subclasses; inheritance; and method overriding.   Dynamic dispatch  definition of method-call.,Subtyping (cross-reference PL Type Systems);  Subtype polymorphism  implicit upcasts in typed languages.   Notion of behavioral replacement  subtypes acting like supertypes.    Relationship between subtyping and inheritance.   Object-oriented idioms for encapsulation.   Privacy and visibility of class members.   Interfaces revealing only method signatures.  Abstract base classes.   Using collection classes; iterators; and other common library components.,Design and implement a class.  Use subclassing to design simple class hierarchies that allow code to be reused for distinct subclasses.   Correctly reason about control flow in a program using dynamic dispatch.   Compare and contrast  the procedural functional approach (defining a function for each operation with the function body providing a case for each data variant) and   the object-oriented approach (defining a class for each data variant with the class definition providing a method for each operation). Understand both as defining a matrix of operations and variants. [Assessment] This outcome also appears in PL Functional Programming.,Explain the relationship between object-oriented inheritance (code-sharing and overriding) and subtyping (the idea of a subtype being usable in a context that expects the supertype).  Use object-oriented encapsulation mechanisms such as interfaces and private members.  Define and use iterators and other operations on aggregates; including operations that take functions as arguments; in multiple programming languages; selecting the most natural idioms for each language.  This outcome also appears in PL Functional Programming.,Downcasting;Object-oriented_programming;Class_(computer_programming),Impulsivity;Downcasting;Victorian_Railways_PL_type_carriage;Visual_Component_Library;Object-oriented_programming;Abstract_type;Dynamic_dispatch;Collection;Class_field_theory;Programming_idiom;Type_signature;Object-oriented_analysis_and_design,,
ku114,Functional Programming,PL,3,4,N,Effect-free programming;  Function calls have no side effects; facilitating compositional reasoning ;  Variables are immutable; preventing unexpected changes to program data by other code;   Data can be freely aliased or copied without introducing unintended effects from mutation.   Processing structured data (e.g.; trees) via functions with cases for each data variant;   Associated language constructs such as discriminated unions and pattern-matching over them;   Functions defined over compound data in terms of functions applied to the constituent pieces.   First-class functions (taking; returning; and storing functions),Function closures (functions using variables in the enclosing lexical environment);   Basic meaning and definition   creating closures at run-time by capturing the environment;   Canonical idioms  call-backs; arguments to iterators; reusable code via function arguments;   Using a closure to encapsulate data in its environment;   Currying and partial application.   Defining higher-order operations on aggregates; especially map; reduce fold; and filter.,Write basic algorithms that avoid assigning to mutable state or considering reference equality.   Write useful functions that take and return other functions.  Compare and contrast  the procedural functional approach (defining a function for each operation with the function body providing a case for each data variant) and the object-oriented approach (defining a class for each data variant with the class definition providing a method for each operation). Understand both as defining a matrix of operations and variants. [Assessment] This outcome also appears in PL Object-Oriented Programming.,Correctly reason about variables and lexical scope in a program using function closures.  Use functional encapsulation mechanisms such as closures and modular interfaces.   Define and use iterators and other operations on aggregates; including operations that take functions as arguments; in multiple programming languages; selecting the most natural idioms for each language. This outcome also appears in PL Object-Oriented Programming,Closure_(computer_programming);User-defined_function;Immutable_object,Canonical_hours;Higher-order_differential_cryptanalysis;Bunched_logic;Closure_(topology);Unintended_consequences;Data_model;Closure_(computer_programming);Side_effect;Variant_type;Constructed_language;Particle_number;Compound_(linguistics);Discriminated_union;Sudden_unexpected_death_in_epilepsy;BASIC;Partial_application;Program-associated_data,,
ku115,Event-Driven and Reactive Programming,PL,0,2,N,Events and event handlers.   Canonical uses such as GUIs; mobile devices; robots; servers.   Using a reactive framework;   Defining event handlers listeners;   Main event loop not under event-handler-writer's control.   Externally-generated events and program-generated events.  Separation of model; view; and controller.,,Write event handlers for use in reactive systems; such as GUIs.  Explain why an event-driven programming style is natural in domains where programs react to external events.  Describe an interactive system in terms of a model; a view; and a controller. [Familiarity],,Event_(computing);Mobile_device;Reactive_programming,DOM_events;Event_loop;Event_(computing);Mobile_device;Reactive_programming,,
